"txid"	"bin"	"shopperinteraction"	"cardtype"	"amount"	"currencycode"	"txtype"	"issuercountrycode"	"accountriskscore"	"threed"	"acquirer"	"auths"
1	"454496"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"PT"	-50	"no 3D secure"	"Adyen Int."	1
2	"513379"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
3	"513379"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
4	"465943"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"GB"	-50	"3D secure"	"Adyen Int."	0
5	"513625"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
6	"513625"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
7	"456140"	"Ecommerce"	"CREDIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
8	"456140"	"Ecommerce"	"DEFFERED_DEBIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
9	"513625"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10	"513625"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
11	"456140"	"Ecommerce"	"CREDIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
12	"456140"	"Ecommerce"	"DEFFERED_DEBIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
13	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
14	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
15	"450994"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"AR"	0	"no 3D secure"	"Adyen Int."	1
16	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
17	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
18	"513536"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
19	"513536"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
20	"527289"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"KR"	0	"3D secure"	"Adyen Int."	1
21	"527289"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"KR"	0	"3D secure"	"Adyen Int."	1
22	"530446"	"Ecommerce"	"PREPAID"	2000	"EUR"	"Authorisation"	"FR"	0	"3D secure"	"Adyen Int."	0
23	"497401"	"Ecommerce"	NA	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
24	"497401"	"Ecommerce"	"DEBIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
25	"513414"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
26	"513414"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
27	"497887"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
28	"497887"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
29	"497410"	"Ecommerce"	NA	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
30	"497410"	"Ecommerce"	"DEBIT"	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
31	"497401"	"Ecommerce"	NA	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
32	"497401"	"Ecommerce"	"DEBIT"	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
33	"512717"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"AE"	0	"no 3D secure"	"Adyen Int."	1
34	"529097"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
35	"529097"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
36	"402981"	"Ecommerce"	"PREPAID"	2000	"EUR"	"Authorisation"	"AU"	0	"3D secure"	"Adyen Int."	1
37	"453304"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
38	"453304"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
39	"513900"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
40	"513900"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
41	"538426"	"Ecommerce"	"PREPAID"	1000	"EUR"	"Authorisation"	"IN"	0	"no 3D secure"	"Adyen Int."	0
42	"512717"	"Ecommerce"	"CREDIT"	499	"EUR"	"Authorisation"	"AE"	0	"no 3D secure"	"Adyen Int."	1
43	"462845"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"SG"	0	"no 3D secure"	"Adyen Int."	1
44	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
45	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
46	"497401"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
47	"497401"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
48	"497804"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
49	"497804"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
50	"402981"	"Ecommerce"	"PREPAID"	1000	"EUR"	"Authorisation"	"AU"	0	"no 3D secure"	"Adyen Int."	1
51	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
52	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
53	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
54	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
55	"497490"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
56	"497490"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
57	"493831"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"NL"	-50	"no 3D secure"	"Adyen Int."	1
58	"445065"	"Ecommerce"	"PREPAID"	1999	"EUR"	"Authorisation"	"IN"	-50	"3D secure"	"Adyen Int."	1
59	"553979"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
60	"553979"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
61	"499977"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"NZ"	-50	"3D secure"	"Adyen Int."	1
62	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
63	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
64	"497401"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
65	"497401"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
66	"497886"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
67	"497886"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
68	"497401"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	0
69	"497401"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	0
70	"497044"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
71	"497044"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
72	"497490"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
73	"497490"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
74	"461755"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"NZ"	-50	"no 3D secure"	"Adyen Int."	1
75	"513415"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
76	"513415"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
77	"497043"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
78	"497043"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
79	"513644"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
80	"513644"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
81	"517805"	"Ecommerce"	"CREDIT"	499	"EUR"	"Authorisation"	"US"	0	"no 3D secure"	"Adyen Int."	1
82	"497388"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
83	"497388"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
84	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
85	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
86	"453304"	"Ecommerce"	NA	499	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
87	"453304"	"Ecommerce"	"DEFFERED_DEBIT"	499	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
88	"497490"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
89	"497490"	"Ecommerce"	"DEFFERED_DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
90	"513283"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
91	"513283"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
92	"524055"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"CN"	0	"no 3D secure"	"Adyen Int."	1
93	"529097"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
94	"513625"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
95	"513625"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
96	"497783"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Domestic"	1
97	"497783"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Domestic"	1
98	"497874"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
99	"497874"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
100	"459598"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"SK"	-50	"no 3D secure"	"Adyen Int."	0
101	"529434"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
102	"459598"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"SK"	-50	"no 3D secure"	"Adyen Int."	0
103	"434499"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"DE"	-50	"3D secure"	"Adyen Int."	1
104	"529434"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
105	"513414"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
106	"513414"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
107	"529434"	"Ecommerce"	"CREDIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
108	"529434"	"Ecommerce"	"CREDIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
109	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
110	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
111	"497401"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
112	"497401"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
113	"557949"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"NL"	-50	"no 3D secure"	"Adyen Int."	1
114	"513625"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	0
115	"513625"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	0
116	"453301"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
117	"453301"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
118	"490977"	"Ecommerce"	"DEBIT"	1999	"EUR"	"Authorisation"	"GB"	-50	"3D secure"	"Adyen Int."	1
119	"513414"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
120	"513414"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
121	"513414"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
122	"513414"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
123	"497568"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
124	"497568"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
125	"497301"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
126	"497301"	"Ecommerce"	"DEFFERED_DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
127	"441712"	"Ecommerce"	"CREDIT"	999	"EUR"	"Authorisation"	"US"	0	"no 3D secure"	"Adyen Int."	1
128	"513111"	"Ecommerce"	NA	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
129	"513111"	"Ecommerce"	"DEBIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
130	"529097"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
131	"497974"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
132	"497974"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
133	"513141"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
134	"513141"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
135	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
136	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
137	"456140"	"Ecommerce"	"CREDIT"	1999	"EUR"	"Authorisation"	"FR"	50	"3D secure"	"Adyen Domestic"	1
138	"456140"	"Ecommerce"	"DEFFERED_DEBIT"	1999	"EUR"	"Authorisation"	"FR"	50	"3D secure"	"Adyen Domestic"	1
139	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
140	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
141	"497040"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
142	"497040"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
143	"497932"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
144	"497932"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
145	"497355"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
146	"497355"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
147	"497576"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
148	"497576"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
149	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
150	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
151	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
152	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
153	"497932"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
154	"497932"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
155	"497203"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
156	"497203"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
157	"453304"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
158	"453304"	"Ecommerce"	"DEFFERED_DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
159	"497804"	"Ecommerce"	NA	999	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Domestic"	1
160	"497804"	"Ecommerce"	"DEBIT"	999	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Domestic"	1
161	"415056"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
162	"415056"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
163	"497040"	"Ecommerce"	NA	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
164	"497040"	"Ecommerce"	"DEBIT"	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
165	"513414"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
166	"513414"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
167	"497401"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
168	"497401"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
169	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
170	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
171	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
172	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
173	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
174	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	1
175	"497932"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
176	"497932"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
177	"410687"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"ZZ"	0	"no 3D secure"	"Adyen Int."	1
178	"513141"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
179	"513141"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
180	"497202"	"Ecommerce"	NA	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
181	"497202"	"Ecommerce"	"DEBIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
182	"529434"	"Ecommerce"	"CREDIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
183	"456140"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
184	"456140"	"Ecommerce"	"DEFFERED_DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
185	"529434"	"Ecommerce"	"CREDIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	0
186	"529434"	"Ecommerce"	"CREDIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
187	"497049"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
188	"497049"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
189	"453978"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"GB"	-50	"3D secure"	"Adyen Int."	1
190	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
191	"497355"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
192	"517805"	"Ecommerce"	"CREDIT"	499	"EUR"	"Authorisation"	"US"	0	"no 3D secure"	"Adyen Int."	1
193	"513130"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	0	"3D secure"	"Adyen Int."	0
194	"513130"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	0	"3D secure"	"Adyen Int."	0
195	"404188"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"BF"	0	"no 3D secure"	"Adyen Int."	1
196	"497401"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Domestic"	1
197	"497401"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Domestic"	1
198	"497401"	"Ecommerce"	NA	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
199	"497401"	"Ecommerce"	"DEBIT"	1999	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
200	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
201	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
202	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
203	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
204	"497401"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
205	"497401"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
