"txid"	"bin"	"shopperinteraction"	"cardtype"	"amount"	"currencycode"	"txtype"	"issuercountrycode"	"accountriskscore"	"threed"	"acquirer"	"auths"
10310	"513770"	"Ecommerce"	NA	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10311	"513770"	"Ecommerce"	"CREDIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10312	"530446"	"Ecommerce"	"PREPAID"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10313	"497414"	"Ecommerce"	NA	3000	"EUR"	"Authorisation"	"FR"	0	"3D secure"	"Adyen Int."	1
10314	"497414"	"Ecommerce"	"DEBIT"	3000	"EUR"	"Authorisation"	"FR"	0	"3D secure"	"Adyen Int."	1
10315	"497958"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
10316	"497958"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
10317	"513268"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	100	"no 3D secure"	"RefusedAcquirer"	0
10318	"513268"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	100	"no 3D secure"	"RefusedAcquirer"	0
10319	"513268"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	100	"no 3D secure"	"RefusedAcquirer"	0
10320	"513268"	"Ecommerce"	"CREDIT"	2000	"EUR"	"Authorisation"	"FR"	100	"no 3D secure"	"RefusedAcquirer"	0
10321	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Domestic"	1
10322	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Domestic"	1
10323	"513414"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	0
10324	"513414"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	0	"no 3D secure"	"Adyen Int."	0
10325	"513268"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	100	"no 3D secure"	"RefusedAcquirer"	0
10326	"513268"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	100	"no 3D secure"	"RefusedAcquirer"	0
10327	"457581"	"Ecommerce"	"PREPAID"	1000	"EUR"	"Authorisation"	"IN"	0	"no 3D secure"	"Adyen Int."	0
10328	"513262"	"Ecommerce"	NA	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10329	"513262"	"Ecommerce"	"CREDIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10330	"497160"	"Ecommerce"	NA	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10331	"497160"	"Ecommerce"	"DEBIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10332	"492113"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"CH"	-50	"no 3D secure"	"Adyen Int."	1
10333	"497040"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
10334	"497040"	"Ecommerce"	"DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Domestic"	1
10335	"454860"	"Ecommerce"	"CREDIT"	1999	"EUR"	"Authorisation"	"NZ"	0	"3D secure"	"Adyen Int."	1
10336	"497239"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10337	"497239"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10338	"497410"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10339	"497410"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10340	"485498"	"Ecommerce"	"CREDIT"	999	"EUR"	"Authorisation"	"IN"	0	"no 3D secure"	"Adyen Int."	0
